trial,score,kp1,kp2,kd1,kd2,diverged,diverge_time_s,steps_completed,ee_err_mean,ee_err_max,ee_err_rms,ee_err_final,q_err_mean,q_err_max,q_err_std,theta_err_mean,theta_err_max,delta_mean,delta_max,delta_std,tau_mean,tau_max,tau1_mean,tau2_mean,tau_sat_fraction,wall_disp_mean,wall_disp_max,wall_disp_std,contact_fraction,contact_steps,elapsed_s
32,86.316948,34.35,2.992,1.16,0.72,0,nan,1001,2.514960755854528,3.4827147360885866,2.627306360047063,3.245501489773801,3.51479414049902,4.732693747254108,0.9444647485863911,15.647836124597791,18.658638651628298,15.339994823855053,16.38072249296217,1.5444935688685826,279.6617702759967,282.842712474619,-0.04907867501504199,0.14320931652371274,0.99000999000999,0.014603388486434391,0.017388259798142746,0.005657581632344239,0.007992007992007992,8,0.77
33,85.916801,34.35,2.992,1.16,0.9,0,nan,1001,2.4633056500390285,3.4886579659238124,2.5986771672029283,3.179016171215488,3.3858712709619714,4.738870676293553,1.0072376360746134,15.644355270550884,18.685565103133655,15.361577930882733,16.37869495303249,1.4382551887469832,279.98397787806596,282.842712474619,-0.023157423184028476,0.1621104851894368,0.991008991008991,0.01879928900721607,0.02537263670092408,0.008075954831437412,0.00999000999000999,10,0.77
34,72.220169,34.35,2.992,1.16,1.08,0,nan,1001,1.2405896959711256,1.9800454101736202,1.311702056047437,1.021956924662757,1.713536868008898,2.2147897030115438,0.33769117136323074,15.266498922751953,18.07501772458308,15.37706764465015,16.366984190649873,1.3675380918185314,280.19197610338756,282.842712474619,0.16976915218188454,0.11005174445637583,0.9920079920079921,0.020496113982255506,0.03286088060829074,0.009792683830122561,0.03896103896103896,39,0.78
35,72.566599,34.35,2.992,1.16,1.26,0,nan,1001,1.270023283384222,2.0683761609098528,1.3421783834231544,1.0494825730545916,1.7109270154875298,2.217585074738433,0.34101685204582155,15.277076234482328,18.104593008044816,15.386712786606608,16.36487875759253,1.3095723341011578,280.3682692010021,282.842712474619,0.13140089358641996,0.1048838125456778,0.993006993006993,0.019883824781248848,0.04062558771587128,0.012848406816162618,0.03496503496503497,35,0.79
36,71.5863,34.35,2.992,1.45,0.54,0,nan,1001,1.2624236732826202,1.9971096435094438,1.329106620038736,1.0906564742912792,1.7123822321831008,2.216219474635434,0.3360431393559718,15.192923674993436,18.080278963994022,15.30214452503226,16.13619920489911,1.7270548907611472,279.1362048589274,282.842712474619,-0.14007048665036262,0.09269544491377286,0.987012987012987,0.01626670307476276,0.02607431439785395,0.009297804389049607,0.03196803196803197,32,0.78
37,71.6832,34.35,2.992,1.45,0.72,0,nan,1001,1.2517995745881192,1.9272944706312065,1.3211139391437796,1.050591221048911,1.7139521537521576,2.212205319432725,0.3332462756829589,15.233234328913037,18.05820286633317,15.342991669529995,16.17118801534598,1.5443627356996557,279.71391549115407,282.842712474619,-0.15754052388940562,0.14336195486632347,0.99000999000999,0.017017470463101987,0.03121822704754171,0.009883711788450824,0.03796203796203796,38,0.78
38,71.907858,34.35,2.992,1.45,0.9,0,nan,1001,1.2341893615265396,1.860855498098693,1.3031499863959732,1.0858271234022747,1.7153486612869695,2.2137042618161384,0.3329156373862508,15.255583526830332,18.040757447410126,15.366309674457652,16.323048692139366,1.4384505067872322,280.1059614913387,282.842712474619,-0.11396237439890496,0.16189469751458405,0.991008991008991,0.01439294974139821,0.02529947144906012,0.008341913590920765,0.04395604395604396,44,0.79
39,85.12249,34.35,2.992,1.45,1.08,0,nan,1001,2.3410231990970787,3.4680927405894577,2.5006394587768837,2.552907846323709,3.290081990400781,4.7086457837140205,1.0680102447537834,15.640158172157081,18.64710413111274,15.37498833340167,16.472114720976418,1.366767005862429,280.3737037547528,282.842712474619,0.09175842160204063,0.10997516523412286,0.9920079920079921,0.006837646459283047,0.01639922328068231,0.005426245961322669,0.008991008991008992,9,0.78
40,86.930957,34.35,2.992,1.45,1.26,0,nan,1001,2.5584456313569084,3.491993460060994,2.663005853854616,2.512164828443942,3.5076846408881304,4.703726352873832,0.9221228943392578,15.690995838461504,18.676867715122793,15.386457227252047,16.472224242702843,1.3089874144248557,280.5434070433,282.842712474619,0.07869695533237835,0.10474391690986957,0.993006993006993,0.017646983950928598,0.022149803961012383,0.0053487723870717764,0.008991008991008992,9,0.77
41,72.853767,34.35,2.992,1.74,0.54,0,nan,1001,1.2841981414777164,2.0051042596924997,1.3501221635103036,1.1241742032690045,1.7076223117233011,2.214961740207862,0.3444775389356887,15.199867512457569,18.084118698013395,15.308615895826543,16.475462637206107,1.7068997161231931,279.79402692218895,282.842712474619,-0.28772510655993144,0.09433554773108749,0.988011988011988,0.017803157251112495,0.03224847613822691,0.01140452613872163,0.028971028971028972,29,0.78
42,73.037506,34.35,2.992,1.74,0.72,0,nan,1001,1.3285025359501164,2.0100932005378005,1.3870135082809947,1.2936561069360168,1.7020243538696527,2.2138952142166333,0.3468329340021522,15.237416700986147,18.09349340387022,15.345658703327448,16.475397514748966,1.5432461342495674,280.1729870344741,282.842712474619,-0.28900898953007426,0.14272080688599115,0.99000999000999,0.005340529579356318,0.022416584180380613,0.0062448094791489545,0.026973026973026972,27,0.79
43,72.677809,34.35,2.992,1.74,0.9,0,nan,1001,1.2946753875990027,1.9005897488850987,1.348424386319404,1.074620273691413,1.7038108370471616,2.2148988630697146,0.3472894168739759,15.258471745211533,18.05066409500388,15.368712677744494,16.476130799321734,1.4382714700165296,280.4483371056428,282.842712474619,-0.2899753240272025,0.16147515468870402,0.991008991008991,0.009705980325436049,0.018269558007867743,0.005520168099002878,0.029970029970029972,30,0.79
